Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
04/04/2022,HLAL,A,00846U101,AGILENT TECHNOLOGIES INC,3530,133.76,472172.8,0.27%,174887160,4200000,168,
04/04/2022,HLAL,AAP,00751Y106,ADVANCE AUTO PARTS INC,733,207.48,152082.84,0.09%,174887160,4200000,168,
04/04/2022,HLAL,AAPL,37833100,APPLE INC,181793,174.31,31688337.83,18.12%,174887160,4200000,168,
04/04/2022,HLAL,ABC,3.07E+108,AMERISOURCEBERGEN CORP,1747,156.52,273440.44,0.16%,174887160,4200000,168,
04/04/2022,HLAL,ABT,2824100,ABBOTT LABS,20456,118.58,2425672.48,1.39%,174887160,4200000,168,
04/04/2022,HLAL,ADBE,00724F101,ADOBE SYSTEMS INCORPORATED,5549,458.19,2542496.31,1.45%,174887160,4200000,168,
04/04/2022,HLAL,ADI,32654105,ANALOG DEVICES INC,6175,165.36,1021098,0.58%,174887160,4200000,168,
04/04/2022,HLAL,ADM,39483102,ARCHER DANIELS MIDLAND CO,6552,91.17,597345.84,0.34%,174887160,4200000,168,
04/04/2022,HLAL,ADSK,52769106,AUTODESK INC,2593,213.04,552412.72,0.32%,174887160,4200000,168,
04/04/2022,HLAL,AGR,05351W103,AVANGRID INC,672,47.49,31913.28,0.02%,174887160,4200000,168,
04/04/2022,HLAL,AKAM,00971T101,AKAMAI TECHNOLOGIES INC,1891,120.51,227884.41,0.13%,174887160,4200000,168,
04/04/2022,HLAL,ALB,12653101,ALBEMARLE CORP,1368,224.92,307690.56,0.18%,174887160,4200000,168,
04/04/2022,HLAL,ALGN,16255101,ALIGN TECHNOLOGY INC,926,446.41,413375.66,0.24%,174887160,4200000,168,
04/04/2022,HLAL,ALLE,G0176J109,ALLEGION PLC,1056,111.52,117765.12,0.07%,174887160,4200000,168,
04/04/2022,HLAL,ALV,52800109,AUTOLIV INC,1029,76.99,79222.71,0.05%,174887160,4200000,168,
04/04/2022,HLAL,AMAT,38222105,APPLIED MATLS INC,10439,127.41,1330032.99,0.76%,174887160,4200000,168,
04/04/2022,HLAL,AMD,7903107,ADVANCED MICRO DEVICES INC,19240,108.19,2081575.6,1.19%,174887160,4200000,168,
04/04/2022,HLAL,ANSS,03662Q105,ANSYS INC,1025,316.49,324402.25,0.19%,174887160,4200000,168,
04/04/2022,HLAL,APD,9158106,AIR PRODS & CHEMS INC,2603,248.99,648120.97,0.37%,174887160,4200000,168,
04/04/2022,HLAL,APP,03831W108,APPLOVIN CORP,1971,53.27,104995.17,0.06%,174887160,4200000,168,
04/04/2022,HLAL,APTV,G6095L109,APTIV PLC,3175,119.07,378047.25,0.22%,174887160,4200000,168,
04/04/2022,HLAL,ARE,15271109,ALEXANDRIA REAL ESTATE EQ INC COM,1959,205.97,403495.23,0.23%,174887160,4200000,168,
04/04/2022,HLAL,AZO,53332102,AUTOZONE INC,243,1974.51,479805.93,0.27%,174887160,4200000,168,
04/04/2022,HLAL,BAX,71813109,BAXTER INTL INC,5918,78.58,465036.44,0.27%,174887160,4200000,168,
04/04/2022,HLAL,BDX,75887109,BECTON DICKINSON & CO,3361,262.5,882262.5,0.50%,174887160,4200000,168,
